STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
17,65,Illinois,Hamilton County,Hamilton County,8163,-88.53910564,38.08157359
5,105,Arkansas,Perry County,Perry County,10352,-92.9314711,34.94737468
20,23,Kansas,Cheyenne County,Cheyenne County,2660,-101.7311042,39.78586934
8,29,Colorado,Delta County,Delta County,30953,-107.8628768,38.86137379
19,185,Iowa,Wayne County,Wayne County,6401,-93.32736387,40.73947019
48,165,Texas,Gaines County,Gaines County,20901,-102.6351741,32.7407277
1,93,Alabama,Marion County,Marion County,29763,-87.88713837,34.13654969
37,189,North Carolina,Watauga County,Watauga County,55945,-81.69642512,36.23110625
51,770,Virginia,Roanoke city,Roanoke city,99920,-79.95808115,37.27848684
48,317,Texas,Martin County,Martin County,5753,-101.9512168,32.30603013
48,37,Texas,Bowie County,Bowie County,94324,-94.42331814,33.44576463
49,57,Utah,Weber County,Weber County,256359,-111.9133839,41.26984303
29,127,Missouri,Marion County,Marion County,28592,-91.62234856,39.80596482
36,45,New York,Jefferson County,Jefferson County,111755,-76.05206866,43.9988617
19,97,Iowa,Jackson County,Jackson County,19432,-90.5742294,42.17174259
38,63,North Dakota,Nelson County,Nelson County,2869,-98.19203497,47.92169441
36,19,New York,Clinton County,Clinton County,80695,-73.67817375,44.74622635
8,45,Colorado,Garfield County,Garfield County,59770,-107.9039562,39.59930718
29,177,Missouri,Ray County,Ray County,22883,-93.98988353,39.35241406
39,73,Ohio,Hocking County,Hocking County,28385,-82.47925356,39.49702384
1,85,Alabama,Lowndes County,Lowndes County,9974,-86.6501077,32.15475001
13,43,Georgia,Candler County,Candler County,10836,-82.07367281,32.40344279
19,113,Iowa,Linn County,Linn County,225909,-91.59896461,42.07894782
6,105,California,Trinity County,Trinity County,12535,-123.1126277,40.65069356
13,215,Georgia,Muscogee County,Muscogee County,194160,-84.87704089,32.50996144
28,135,Mississippi,Tallahatchie County,Tallahatchie County,13987,-90.17326424,33.95047481
20,5,Kansas,Atchison County,Atchison County,16193,-95.31344465,39.53174
72,81,NA,NA,Lares Municipio,NA,-66.86677976,18.26867675
48,3,Texas,Andrews County,Andrews County,18128,-102.6378151,32.30503566
39,109,Ohio,Miami County,Miami County,106222,-84.2288512,40.05344538
48,375,Texas,Potter County,Potter County,119648,-101.8940035,35.4012728
40,133,Oklahoma,Seminole County,Seminole County,24578,-96.61551792,35.16748604
45,3,South Carolina,Aiken County,Aiken County,169401,-81.63474356,33.54436941
60,20,NA,NA,Manu'a District,NA,-169.5367349,-14.20843579
6,45,California,Mendocino County,Mendocino County,87606,-123.4315539,39.43362382
51,550,Virginia,Chesapeake city,Chesapeake city,242634,-76.30241829,36.6777445
69,120,NA,NA,Tinian Municipality,NA,145.6048455,14.94652943
72,153,NA,NA,Yauco Municipio,NA,-66.85828282,18.07956496
56,37,Wyoming,Sweetwater County,Sweetwater County,43051,-108.8794308,41.65949614
48,169,Texas,Garza County,Garza County,6578,-101.2984241,33.17987571
54,31,West Virginia,Hardy County,Hardy County,13775,-78.85792238,39.0075031
72,1,NA,NA,Adjuntas Municipio,NA,-66.75395662,18.17973266
