FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
197,Ghaziabad,Uttar Pradesh,9,9,140,77.7067066,28.73892066,352116399
198,Ghazipur,Uttar Pradesh,9,64,195,83.55621136,25.62244594,253608926
199,Giridih,Jharkhand,20,4,349,86.11028589,24.29635715,105673836
200,Goalpara,Assam,18,3,302,90.60550642,26.05545614,142183232
201,Godda,Jharkhand,20,6,351,87.31212293,24.85958079,112979579
202,Golaghat,Assam,18,14,313,93.83344252,26.45726692,358820460
203,Gonda,Uttar Pradesh,9,52,183,82.02556875,27.08410961,137317336
204,Gondiya,Maharashtra,27,11,507,80.20535236,21.14897125,300106794
205,Gopalganj,Bihar,10,15,217,84.37730876,26.44274468,439455496
206,Gorakhpur,Uttar Pradesh,9,57,188,83.36143437,26.65778333,274619493
207,Gulbarga,Karnataka,29,25,579,76.86948819,17.26017443,102412885
208,Gumla,Jharkhand,20,21,366,84.53467567,23.10226166,174941776
209,Guna,Madhya Pradesh,23,41,458,77.20082033,24.55464211,565077296
210,Guntur,Andhra Pradesh,28,17,548,80.09152295,16.29880701,233434642
211,Gurdaspur,Punjab,3,1,35,75.38644347,32.02419674,221606624
212,Gurgaon,Haryana,6,18,86,76.94077441,28.3680614,262137353
213,Gwalior,Madhya Pradesh,23,4,421,78.21957216,26.01137766,78392529
214,Hailakandi,Assam,18,19,318,92.58877269,24.49411756,49943739
215,Hamirpur,Himachal Pradesh,2,6,28,76.52576577,31.66804128,113171400
216,Hamirpur,Uttar Pradesh,9,37,168,79.87893593,25.73161026,193966516
217,Hanumangarh,Rajasthan,8,2,100,74.5490113,29.27138985,535698382
218,Haora,West Bengal,19,15,341,88.06751863,22.52603393,69332800
219,Harda,Madhya Pradesh,23,31,448,77.12110252,22.23417781,463754614
220,Hardoi,Uttar Pradesh,9,24,155,80.16250907,27.32870648,218610635
221,Hardwar,Uttarakhand,5,13,68,78.00121345,29.87181221,181829378
222,Hassan,Karnataka,29,20,574,76.10906383,12.99535566,165659866
224,Haveri,Karnataka,29,10,564,75.4177143,14.73808405,195451401
225,Hazaribagh,Jharkhand,20,15,360,85.41321056,23.98997949,129284331
226,Hingoli,Maharashtra,27,16,512,77.11889998,19.61515714,199827395
227,Hisar,Haryana,6,12,80,75.81560883,29.21509226,160929211
228,Hoshangabad,Madhya Pradesh,23,32,449,77.98893192,22.58828482,173015290
229,Hoshiarpur,Punjab,3,4,38,75.85876466,31.62601015,610878261
230,Hugli,West Bengal,19,12,338,88.07981254,22.8847023,700683426
231,Hyderabad,Andhra Pradesh,28,5,536,78.4699402,17.3898351,118397476
232,Idukki,Kerala,32,9,596,77.02746333,9.882197883,50412940
233,Imphal East,Manipur,14,7,278,93.94212054,24.81655324,57947764
234,Imphal West,Manipur,14,6,277,93.15439776,24.68159952,465696280
235,Indore,Madhya Pradesh,23,22,439,75.78217591,22.71305841,281282154
236,Jabalpur,Madhya Pradesh,23,34,451,79.97650282,23.2325634,119769201
237,Jagatsinghapur,Odisha,21,11,380,86.34365093,20.22182018,40028407
238,Jaintia Hills,Meghalaya,17,7,299,92.38107626,25.36835333,632043388
239,Jaipur,Rajasthan,8,12,110,75.7243097,26.98045126,74182136
240,Jaisalmer,Rajasthan,8,16,114,70.90338468,27.07739971,198604711
241,Jajapur,Odisha,21,13,382,86.15219727,20.85592847,245909881
242,Jalandhar,Punjab,3,3,37,75.56657689,31.21261491,160099829
243,Jalaun,Uttar Pradesh,9,34,165,79.38742564,26.09118877,439712177
244,Jalgaon,Maharashtra,27,3,499,75.48990478,20.93551524,222400127
245,Jalna,Maharashtra,27,18,514,75.98188559,19.81819481,216130767
246,Jalor,Rajasthan,8,18,116,72.21186437,25.09777083,392855508
247,Jalpaiguri,West Bengal,19,2,328,89.08443002,26.66051672,161991815
248,Jammu,Jammu & Kashmir,1,21,21,74.78837084,32.76251773,209915227
249,Jamnagar,Gujarat,24,10,477,69.91356017,22.25218417,96414006
250,Jamtara,Jharkhand,20,18,363,86.91723138,23.97691258,191136127
251,Jamui,Bihar,10,36,238,86.29521366,24.78380082,208158481
252,Janjgir-champa,Chhattisgarh,22,6,405,82.73793464,21.92623173,97607710
253,Jashpur,Chhattisgarh,22,3,402,83.86636194,22.80042878,450140870
254,Jaunpur,Uttar Pradesh,9,63,194,82.57591292,25.74599954,112677358
631,Jehanabad,Bihar,10,37,239,85.03013525,25.15656976,132416941
255,Jhabua,Madhya Pradesh,23,47,464,74.6718096,22.8905896,116657291
256,Jhajjar,Haryana,6,15,83,76.64941352,28.60475128,160334429
257,Jhalawar,Rajasthan,8,31,129,76.19677039,24.3288573,198705451
258,Jhansi,Uttar Pradesh,9,35,166,78.95397536,25.50544798,65536408
259,Jharsuguda,Odisha,21,2,371,83.95473389,21.80598513,235419088
260,Jhunjhunun,Rajasthan,8,5,103,75.55240663,28.09190649,149199174
626,Jind,Haryana,6,9,77,76.30093134,29.43538078,423933207
261,Jodhpur,Rajasthan,8,15,113,72.78802794,26.75082959,118607237
262,Jorhat,Assam,18,13,312,94.25654568,26.79396055,274015051
263,Junagadh,Gujarat,24,12,479,70.55398504,21.22148171,208135021
264,Jyotiba Phule Nagar,Uttar Pradesh,9,6,137,78.32935971,28.81354915,99469336
624,Kabeerdham,Chhattisgarh,22,8,407,81.22307534,22.09103052,227954644
265,Kachchh,Gujarat,24,1,468,69.95995774,23.62839689,169866120
266,Kaimur (bhabua),Bihar,10,31,233,83.60666685,24.99112764,123986494
267,Kaithal,Haryana,6,5,73,76.41822587,29.81402189,180025712
268,Kalahandi,Odisha,21,26,395,83.1092314,19.86769857,161906254
269,Kamrup,Assam,18,22,321,91.40614761,26.11801102,123028771
270,Kamrup Metropolitan,Assam,18,23,322,91.82159878,26.09002544,517704505
