state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/3/2020,3,PRE,F,1,-0.02365576,F,1,-0.016424997,F,1,1.243196165,0.924986219,-0.075013781,-0.038364846
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/4/2020,4,PRE,F,1,-0.0267715,F,1,-0.017239786,F,1,1.394971615,1.037913047,0.037913047,-0.002032746
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/5/2020,5,PRE,F,1,0.000471423,F,1,-0.087334939,F,1,1.555553929,1.157392524,0.157392524,0.023509669
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/6/2020,6,PRE,F,1,-0.055240762,F,1,-0.100541525,F,1,1.622081978,1.206891975,0.206891975,0.017036563
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/7/2020,7,PRE,F,1,-0.011806991,F,1,0.044938909,F,1,1.248228659,0.92873059,-0.07126941,-0.012712498
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/8/2020,1,PRE,F,1,-0.051832779,F,1,0.023972099,F,1,0.659541212,0.490724271,-0.509275729,-0.179045469
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/9/2020,2,POST,F,1,-0.061406503,F,1,-0.085761796,F,1,1.026532039,0.763779696,-0.236220304,-0.127796201
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/10/2020,3,POST,F,1,-0.058724292,F,1,-0.077163266,F,1,1.176744366,0.8755435,-0.1244565,-0.086781353
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/11/2020,4,POST,F,1,-0.006038139,F,1,-0.21204218,F,1,1.413805343,1.051926072,0.051926072,-0.055384749
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/12/2020,5,POST,F,1,-0.052080553,F,1,-0.031209889,F,1,1.004686439,0.747525722,-0.252474278,-0.111921573
