Num,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
97,2020-02-16,0.99,0.01,0.0002,0.99,0.01,0.0002,0.859531481,0.042053097,0.023183547,0.771915181,0.238528143,0.12133776,0.77532,0.259613697,0.366321848,2.103084802,5.240347976,8.28258286,5.205074074,0.176530616,14.66599011,4.018546393,7.086595304,0.305313457,1.975213561,1.590788074,74,36,0.040431697,0.736130706,0.883494871,4,0.11,0.64,0.82,0.805535019,0.43,0,0.325254096
98,2020-02-09,0.99,0.01,0.0002,0.99,0.01,0.0002,0.922253139,0.045236085,0.028185805,0.705091078,0.262148775,0.133591025,0.777395205,0.234222788,0.366419134,3.930187474,5.965204711,9.267236455,5.292801445,0.210439888,14.81986246,4.133235607,7.252025912,0.326683553,2.478014189,1.307932038,100,36,0.039390169,0.810118646,0.831937915,9,0.26,0.42,0.88,0.832459359,0.16,0,0.751265723
99,2020-02-13,0.99,0.01,0.0002,0.99,0.01,0.0002,0.904366493,0.030972448,0.027890151,0.873197947,0.262027219,0.122585961,0.856329174,0.230613912,0.30383043,3.298141454,5.848754386,8.531926218,6.224777075,0.23741773,16.87555764,4.522528213,5.753333454,0.241568724,2.83164771,1.917722786,3,36,0.040811727,0.790692746,0.80752295,9,0.18,0.62,0.76,0.794817634,0.15,0,0.10682366
100,2020-02-13,0.99,0.01,0.0002,0.99,0.01,0.0002,0.923504533,0.034346616,0.02578736,0.869681359,0.242671173,0.118293284,0.710182721,0.23192823,0.324700698,3.243516943,4.524510189,9.886724868,6.024855995,0.19484768,15.03714213,4.09896812,7.777763833,0.272775138,1.333276258,1.354247017,52,36,0.04052521,0.763866268,0.831019314,9,0.35,0.45,0.79,0.859657707,0.4,0,0.338353876
101,2020-02-07,0.99,0.01,0.0002,0.99,0.01,0.0002,0.852251092,0.043098913,0.036847292,0.803743642,0.26003112,0.147594813,0.895343951,0.247558586,0.361643302,3.419585418,5.616253491,9.296558275,6.550249043,0.237435946,16.77348933,4.387910932,7.073245511,0.356958573,1.534597994,1.907650382,31,36,0.038727443,0.787469857,0.855041197,10,0.11,0.54,0.82,0.672378124,0.44,0,0.833124556
102,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.856087707,0.049187494,0.033629771,0.836446931,0.248266653,0.116318336,0.880892404,0.255481481,0.337211503,2.221467123,5.021051549,8.841337314,6.549099656,0.171844617,17.06768523,4.920144529,6.677183006,0.338091024,1.943286082,1.903428695,67,36,0.039683488,0.745358061,0.880004758,4,0.13,0.5,0.71,0.882557969,0.26,0,0.898751885
103,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.879470996,0.037108447,0.03132157,0.892382623,0.259220359,0.138931878,0.734225411,0.26683592,0.333140672,3.46163348,5.881187031,8.958826018,6.091267113,0.2197847,16.18829886,4.329133126,7.631087801,0.392099888,1.121510423,1.90003588,57,36,0.040287945,0.812387364,0.576533492,10,0.17,0.58,0.78,0.76184432,0.31,0,0.132069934
104,2020-02-08,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911665776,0.043455325,0.028763578,0.766030334,0.26731615,0.100487031,0.723799071,0.240736079,0.32755303,3.631092042,5.84789344,8.585318186,6.439278233,0.213857007,17.40591862,4.13548412,5.503315519,0.279355075,1.374891113,1.420363727,32,36,0.038308256,0.899475257,0.54348806,6,0.09,0.55,0.7,0.83894016,0.43,0,0.725663969
105,2020-02-17,0.99,0.01,0.0002,0.99,0.01,0.0002,0.872448571,0.033612346,0.038803199,0.757255032,0.23173957,0.149060634,0.825484544,0.267506327,0.34644495,2.924784345,5.395578734,9.965538681,6.181102182,0.223321337,16.39734551,3.785523233,5.794821983,0.377823061,1.786409215,1.526479562,32,36,0.041200633,0.751995483,0.547037333,10,0.39,0.57,0.89,0.850279034,0.35,0,0.305105833
106,2020-02-15,0.99,0.01,0.0002,0.99,0.01,0.0002,0.871324052,0.040025282,0.037186724,0.786483007,0.254076616,0.125245599,0.720779895,0.240185742,0.324362455,3.74742836,5.525745024,8.860611507,5.128434221,0.19526385,15.36256491,3.969853928,6.665701944,0.202107646,2.622942077,1.15083328,22,36,0.041070048,0.685581652,0.748204534,9,0.17,0.44,0.89,0.791233895,0.36,0,0.897902472
