ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
21787,Frederick County,MD,24021,H1
21798,Frederick County,MD,24021,H1
21791,Frederick County,MD,24021,H1
21778,Frederick County,MD,24021,H1
21714,Frederick County,MD,24021,H1
20871,Frederick County,MD,24021,H1
21716,Frederick County,MD,24021,H1
21770,Frederick County,MD,24021,H1
21717,Frederick County,MD,24021,H1
21790,Frederick County,MD,24021,H1
21718,Frederick County,MD,24021,H1
21775,Frederick County,MD,24021,H1
21704,Frederick County,MD,24021,H1
21758,Frederick County,MD,24021,H1
21780,Frederick County,MD,24021,H1
21713,Frederick County,MD,24021,H1
21539,Garrett County,MD,24023,H1
21538,Garrett County,MD,24023,H1
21550,Garrett County,MD,24023,H1
21520,Garrett County,MD,24023,H1
21532,Garrett County,MD,24023,H1
21561,Garrett County,MD,24023,H1
21541,Garrett County,MD,24023,H1
21521,Garrett County,MD,24023,H1
21523,Garrett County,MD,24023,H1
21536,Garrett County,MD,24023,H1
21522,Garrett County,MD,24023,H1
21531,Garrett County,MD,24023,H1
21562,Garrett County,MD,24023,H1
21040,Harford County,MD,24025,H1
21009,Harford County,MD,24025,H1
21010,Harford County,MD,24025,H1
21087,Harford County,MD,24025,H1
21085,Harford County,MD,24025,H1
21084,Harford County,MD,24025,H1
21017,Harford County,MD,24025,H1
21111,Harford County,MD,24025,H1
21130,Harford County,MD,24025,H1
21161,Harford County,MD,24025,H1
21078,Harford County,MD,24025,H1
21082,Harford County,MD,24025,H1
21050,Harford County,MD,24025,H1
21047,Harford County,MD,24025,H1
21013,Harford County,MD,24025,H1
21015,Harford County,MD,24025,H1
21005,Harford County,MD,24025,H1
21018,Harford County,MD,24025,H1
21154,Harford County,MD,24025,H1
21132,Harford County,MD,24025,H1
21014,Harford County,MD,24025,H1
21001,Harford County,MD,24025,H1
21034,Harford County,MD,24025,H1
21160,Harford County,MD,24025,H1
21028,Harford County,MD,24025,H1
21076,Howard County,MD,24027,H1
21042,Howard County,MD,24027,H1
21163,Howard County,MD,24027,H1
21797,Howard County,MD,24027,H1
21794,Howard County,MD,24027,H1
21771,Howard County,MD,24027,H1
21075,Howard County,MD,24027,H1
21046,Howard County,MD,24027,H1
21723,Howard County,MD,24027,H1
21765,Howard County,MD,24027,H1
21041,Howard County,MD,24027,H1
21784,Howard County,MD,24027,H1
21104,Howard County,MD,24027,H1
21737,Howard County,MD,24027,H1
21738,Howard County,MD,24027,H1
20794,Howard County,MD,24027,H1
20777,Howard County,MD,24027,H1
21045,Howard County,MD,24027,H1
20833,Howard County,MD,24027,H1
20723,Howard County,MD,24027,H1
20763,Howard County,MD,24027,H1
21036,Howard County,MD,24027,H1
21043,Howard County,MD,24027,H1
21029,Howard County,MD,24027,H1
21044,Howard County,MD,24027,H1
20701,Howard County,MD,24027,H1
20759,Howard County,MD,24027,H1
21150,Howard County,MD,24027,H1
21635,Kent County,MD,24029,H1
21645,Kent County,MD,24029,H1
21678,Kent County,MD,24029,H1
21690,Kent County,MD,24029,H1
21650,Kent County,MD,24029,H1
21667,Kent County,MD,24029,H1
21610,Kent County,MD,24029,H1
21620,Kent County,MD,24029,H1
21661,Kent County,MD,24029,H1
21651,Kent County,MD,24029,H1
21930,Kent County,MD,24029,H1
20850,Montgomery County,MD,24031,H1
20905,Montgomery County,MD,24031,H1
20876,Montgomery County,MD,24031,H1
20854,Montgomery County,MD,24031,H1
20898,Montgomery County,MD,24031,H1
20875,Montgomery County,MD,24031,H1
20896,Montgomery County,MD,24031,H1
20839,Montgomery County,MD,24031,H1
20916,Montgomery County,MD,24031,H1
20895,Montgomery County,MD,24031,H1
20871,Montgomery County,MD,24031,H1
20877,Montgomery County,MD,24031,H1
20866,Montgomery County,MD,24031,H1
20853,Montgomery County,MD,24031,H1
20849,Montgomery County,MD,24031,H1
21771,Montgomery County,MD,24031,H1
20868,Montgomery County,MD,24031,H1
20810,Montgomery County,MD,24031,H1
21797,Montgomery County,MD,24031,H1
20817,Montgomery County,MD,24031,H1
20832,Montgomery County,MD,24031,H1
20841,Montgomery County,MD,24031,H1
20814,Montgomery County,MD,24031,H1
20906,Montgomery County,MD,24031,H1
20878,Montgomery County,MD,24031,H1
20882,Montgomery County,MD,24031,H1
20872,Montgomery County,MD,24031,H1
20860,Montgomery County,MD,24031,H1
20825,Montgomery County,MD,24031,H1
20914,Montgomery County,MD,24031,H1
20911,Montgomery County,MD,24031,H1
20885,Montgomery County,MD,24031,H1
20883,Montgomery County,MD,24031,H1
20848,Montgomery County,MD,24031,H1
20915,Montgomery County,MD,24031,H1
20783,Montgomery County,MD,24031,H1
20993,Montgomery County,MD,24031,H1
20852,Montgomery County,MD,24031,H1
20903,Montgomery County,MD,24031,H1
20889,Montgomery County,MD,24031,H1
20847,Montgomery County,MD,24031,H1
20707,Montgomery County,MD,24031,H1
20894,Montgomery County,MD,24031,H1
20830,Montgomery County,MD,24031,H1
20904,Montgomery County,MD,24031,H1
20861,Montgomery County,MD,24031,H1
20838,Montgomery County,MD,24031,H1
20899,Montgomery County,MD,24031,H1
20891,Montgomery County,MD,24031,H1
20859,Montgomery County,MD,24031,H1
20918,Montgomery County,MD,24031,H1
20892,Montgomery County,MD,24031,H1
20811,Montgomery County,MD,24031,H1
20818,Montgomery County,MD,24031,H1
20824,Montgomery County,MD,24031,H1
20842,Montgomery County,MD,24031,H1
20912,Montgomery County,MD,24031,H1
20855,Montgomery County,MD,24031,H1
20880,Montgomery County,MD,24031,H1
20884,Montgomery County,MD,24031,H1
20907,Montgomery County,MD,24031,H1
20913,Montgomery County,MD,24031,H1
20207,Montgomery County,MD,24031,H1
20833,Montgomery County,MD,24031,H1
20851,Montgomery County,MD,24031,H1
20816,Montgomery County,MD,24031,H1
20902,Montgomery County,MD,24031,H1
20879,Montgomery County,MD,24031,H1
20901,Montgomery County,MD,24031,H1
20874,Montgomery County,MD,24031,H1
20827,Montgomery County,MD,24031,H1
20815,Montgomery County,MD,24031,H1
20837,Montgomery County,MD,24031,H1
20910,Montgomery County,MD,24031,H1
20886,Montgomery County,MD,24031,H1
20812,Montgomery County,MD,24031,H1
20862,Montgomery County,MD,24031,H1
20857,Montgomery County,MD,24031,H1
20777,Montgomery County,MD,24031,H1
20058,Montgomery County,MD,24031,H1
20715,Prince George's County,MD,24033,H1
