key,startdate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
59,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.91773865,0.112164735,0.07239846,0.832681321,0.25397011,0.223298352,0.720331928,0.599055832,0.416990412,3.015671099,5.59613321,8.043894092,5.291887701,0.411394095,16.11171377,4.496548046,6.041713858,0.242782791,1.264320729,1.629130535,15,36,0.03835465,0.672954078,0.737339261,9,0.18239184,0.537843525,0.75,0.602005875,0.5,0,1
482,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.877447795,0.105657641,0.095487335,0.849227811,0.233390285,0.244516298,0.705835024,0.577167776,0.496517222,2.831941354,4.702664784,8.570703364,6.648458285,0.424401762,16.15339883,4.755020179,6.516611837,0.33491764,2.10034884,1.220523916,73,36,0.040906512,0.729480292,0.750936558,5,0.218155437,0.551603454,0.75,0.627208665,0.38,0,0.9
177,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.892482584,0.080363699,0.066067091,0.870871815,0.253190364,0.17863384,0.811906557,0.513222906,0.45431184,2.344999603,5.735831942,9.398927209,6.053595492,0.429909723,16.77453899,3.568390375,7.818839033,0.319536386,1.983127405,1.318441827,83,36,0.041017917,0.87321659,0.541377497,7,0.236805187,0.542911774,0.75,0.529604806,0.18,0,0.3
253,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.89401216,0.095937966,0.086593711,0.873498816,0.263534047,0.173170734,0.831556935,0.512257501,0.427543231,3.590672003,5.033817639,8.618534905,6.238051754,0.446373689,16.64804619,4.283665718,5.280579137,0.354437755,2.629582829,1.532210132,93,36,0.040334937,0.777235262,0.662159182,9,0.608888889,0.737777778,0.888888889,0.853618429,0.16,0,0.7
122,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.876056021,0.093132858,0.065308263,0.878446152,0.268401053,0.193936075,0.727187034,0.506679612,0.457620178,2.498819374,5.951361469,8.903045548,5.54127067,0.417072282,14.54524691,3.801495837,5.087882826,0.332337427,1.307683133,1.272303243,92,36,0.040072233,0.604079291,0.689114738,2,0.163459062,0.482541136,0.75,0.723362446,0.26,0,0.7
111,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.905299297,0.113000282,0.088998837,0.880638403,0.235319075,0.194825803,0.866233426,0.546589604,0.444168762,2.349286886,4.630171399,8.217595099,5.451489563,0.417495298,16.22731392,4.288079211,6.980284118,0.245131934,2.588715673,1.281658164,5,36,0.041533224,0.650870249,0.776089498,9,0.118772145,0.514275909,0.75,0.594085977,0.14,0,0.6
21,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.939760946,0.10035613,0.073700735,0.886439129,0.252472557,0.234408342,0.841194705,0.599089637,0.407920083,3.48759198,4.728975974,8.417703194,6.787783007,0.426737559,17.64657512,4.798606152,6.145658169,0.281022856,2.487277655,1.016814297,22,36,0.040148787,0.843539267,0.876201278,6,0.195465307,0.543195013,0.75,0.779701894,0.13,0,0.3
337,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.854898786,0.080693955,0.053078337,0.897544324,0.260039859,0.164808274,0.860295583,0.588441512,0.437834746,2.475939293,4.10740178,8.355918361,6.124397111,0.422290021,16.68196134,3.432715152,6.317339309,0.219595202,1.812607905,1.785701351,8,36,0.03776212,0.829185374,0.757502569,8,0.179993817,0.560867704,0.75,0.775831746,0.35,0,0.5
259,2/6/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.928130054,0.081054988,0.065153681,0.710958131,0.269792011,0.245441207,0.818157151,0.558600413,0.468904903,2.903359411,4.533826394,9.135476107,5.883754773,0.426458179,16.58504971,3.529556132,6.528702124,0.270520811,2.406306621,1.981539725,49,36,0.041759962,0.637514831,0.717821166,2,0.217674817,0.505684276,0.75,0.858786078,0.45,0,0.8
815,2/6/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.874699405,0.106221201,0.064262497,0.729444202,0.244416842,0.170928255,0.820931607,0.569465996,0.472496481,2.536179728,4.298626451,9.255549188,5.204067176,0.42135124,14.44014682,3.956029549,7.345226544,0.356534863,2.773621059,1.046994326,96,36,0.037972928,0.694927986,0.552568133,2,0.171250457,0.558163626,0.75,0.856212619,0.24,0,0.6
