Zip,CurrentCases,PriorCases,NewCases,FoundInFile,State
20725,3,4,0,1,MD
20724,340,330,10,1,MD
20723,369,338,31,1,MD
20722,227,214,13,1,MD
20721,329,314,15,1,MD
20720,268,249,19,1,MD
20719,1,1,0,1,MD
20718,3,3,0,1,MD
20717,2,2,0,1,MD
20716,271,255,16,1,MD
20715,235,222,13,1,MD
20714,18,16,2,1,MD
20712,232,215,17,1,MD
20711,87,83,4,1,MD
20710,278,265,13,1,MD
20709,1,1,0,1,MD
20708,582,561,21,1,MD
20707,666,638,28,1,MD
20706,1279,1180,99,1,MD
20705,728,673,55,1,MD
20704,6,5,1,1,MD
20703,3,3,0,1,MD
20701,3,3,0,1,MD
20695,91,84,7,1,MD
20693,3,3,0,1,MD
20692,7,5,2,1,MD
20690,2,2,0,1,MD
20689,14,13,1,1,MD
20688,5,5,0,1,MD
20687,1,1,0,1,MD
20685,21,20,1,1,MD
20680,2,2,0,1,MD
20678,85,79,6,1,MD
20677,12,11,1,1,MD
20676,11,11,0,1,MD
20675,10,10,0,1,MD
20674,4,4,0,1,MD
20670,5,4,1,1,MD
20667,2,2,0,1,MD
20664,22,22,0,1,MD
20662,18,18,0,1,MD
20660,1,1,0,1,MD
20659,92,84,8,1,MD
20658,5,5,0,1,MD
20657,79,66,13,1,MD
20656,7,7,0,1,MD
20653,144,123,21,1,MD
20650,36,26,10,1,MD
20646,156,152,4,1,MD
20645,4,3,1,1,MD
20640,54,49,5,1,MD
20639,80,76,4,1,MD
20637,37,34,3,1,MD
20636,24,22,2,1,MD
20634,43,39,4,1,MD
20632,3,2,1,1,MD
20629,2,2,0,1,MD
20628,4,4,0,1,MD
20627,1,1,0,1,MD
20624,6,4,2,1,MD
20623,33,30,3,1,MD
20622,221,224,0,1,MD
20621,6,6,0,1,MD
20620,2,2,0,1,MD
20619,29,25,4,1,MD
20618,1,0,1,1,MD
20616,50,48,2,1,MD
20615,3,3,0,1,MD
20613,168,150,18,1,MD
20612,3,1,2,1,MD
20611,5,5,0,1,MD
20609,2,2,0,1,MD
20608,3,3,0,1,MD
20607,111,105,6,1,MD
20606,1,1,0,1,MD
20604,3,3,0,1,MD
20603,311,285,26,1,MD
20602,276,249,27,1,MD
20601,256,234,22,1,MD
20535,1,1,0,1,MD
20520,1,0,1,1,MD
20507,1,1,0,1,MD
20422,1,1,0,1,MD
20420,1,1,0,1,MD
20401,1,0,1,1,MD
20245,1,1,0,1,MD
20223,3,0,3,1,MD
20090,2,2,0,1,MD
20081,1,1,0,1,MD
20064,1,1,0,1,DC
20048,1,1,0,1,DC
20042,1,1,0,1,DC
20040,1,1,0,1,DC
20037,128,122,6,1,DC
20036,45,42,3,1,DC
20035,1,1,0,1,DC
20032,722,681,41,1,DC
20030,2,2,0,1,DC
20026,3,3,0,1,DC
20024,128,119,9,1,DC
20023,1,1,0,1,DC
20020,971,917,54,1,DC
20019,1061,1011,50,1,DC
20018,407,391,16,1,DC
20017,333,318,15,1,DC
20016,167,162,5,1,DC
20015,136,129,7,1,DC
20013,5,5,0,1,DC
20012,326,315,11,1,DC
20011,1970,1854,116,1,DC
20010,914,865,49,1,DC
20009,560,527,33,1,DC
20008,166,155,11,1,DC
20007,128,120,8,1,DC
20006,4,4,0,1,DC
20005,136,131,5,1,DC
20004,9,9,0,1,DC
20003,404,372,32,1,DC
20002,798,747,51,1,DC
20001,699,666,33,1,DC
20000,1,1,0,0,DC
20105,16,15,1,0,VA
20109,27,22,5,0,VA
20110,40,32,8,0,VA
20111,30,32,0,0,VA
20112,14,18,0,0,VA
20117,0,2,0,0,VA
20119,2,1,1,0,VA
20120,30,34,0,0,VA
20121,17,22,0,0,VA
20124,10,10,0,0,VA
20129,1,0,1,0,VA
20130,2,0,2,0,VA
20132,7,12,0,0,VA
20135,2,2,0,0,VA
20136,21,22,0,0,VA
20137,0,0,0,0,VA
20141,3,1,2,0,VA
20143,2,1,1,0,VA
20147,65,61,4,0,VA
20148,58,57,1,0,VA
20151,11,15,0,0,VA
20152,26,24,2,0,VA
20155,12,14,0,0,VA
20158,3,1,2,0,VA
20164,43,44,0,0,VA
20165,33,38,0,0,VA
20166,15,10,5,0,VA
20169,14,18,0,0,VA
20170,31,34,0,0,VA
20171,48,52,0,0,VA
20175,20,26,0,0,VA
20176,26,37,0,0,VA
20180,2,5,0,0,VA
20181,5,2,3,0,VA
20184,0,1,0,0,VA
20186,9,9,0,0,VA
20187,6,8,0,0,VA
20190,12,15,0,0,VA
20191,25,21,4,0,VA
20194,16,11,5,0,VA
20197,1,0,1,0,VA
20198,2,1,1,0,VA
20319,1,0,1,0,DC
20374,0,0,0,0,DC
20617,0,0,0,0,MD
20625,0,0,0,0,MD
20626,0,0,0,0,MD
20630,0,0,0,0,MD
20684,0,0,0,0,MD
20838,0,0,0,0,MD
20839,0,0,0,0,MD
21010,0,0,0,0,MD
21051,0,0,0,0,MD
21056,1,1,0,0,MD
21071,0,1,0,0,MD
21251,1,1,0,0,MD
21520,0,0,0,0,MD
21523,0,0,0,0,MD
21536,1,2,0,0,MD
21538,0,0,0,0,MD
21540,0,0,0,0,MD
21541,0,0,0,0,MD
21555,0,0,0,0,MD
21557,2,0,2,0,MD
21626,0,0,0,0,MD
21627,0,0,0,0,MD
21648,0,0,0,0,MD
21659,0,0,0,0,MD
21665,0,0,0,0,MD
21669,0,0,0,0,MD
21671,0,0,0,0,MD
21672,0,0,0,0,MD
21675,0,0,0,0,MD
21718,0,0,0,0,MD
21766,0,0,0,0,MD
21790,0,0,0,0,MD
21824,0,0,0,0,MD
21835,0,0,0,0,MD
21840,0,0,0,0,MD
21862,0,0,0,0,MD
21865,1,0,1,0,MD
22003,62,70,0,0,VA
22015,37,38,0,0,VA
22025,10,15,0,0,VA
22026,9,15,0,0,VA
22027,0,3,0,0,VA
22030,48,63,0,0,VA
22031,32,35,0,0,VA
22032,31,24,7,0,VA
22033,42,35,7,0,VA
22039,11,19,0,0,VA
22041,28,49,0,0,VA
22042,35,42,0,0,VA
22043,18,16,2,0,VA
22044,23,17,6,0,VA
22046,16,14,2,0,VA
22060,4,10,0,0,VA
22066,16,17,0,0,VA
22079,29,41,0,0,VA
22101,46,39,7,0,VA
22102,25,28,0,0,VA
22124,15,23,0,0,VA
22125,0,1,0,0,VA
22134,6,5,1,0,VA
22150,26,32,0,0,VA
22151,14,8,6,0,VA
22152,33,28,5,0,VA
22153,30,21,9,0,VA
22172,5,1,4,0,VA
22180,27,14,13,0,VA
22181,14,17,0,0,VA
22182,27,22,5,0,VA
22191,63,83,0,0,VA
22192,53,64,0,0,VA
22193,70,80,0,0,VA
22201,55,45,10,0,VA
22202,32,30,2,0,VA
22203,29,31,0,0,VA
22204,67,75,0,0,VA
22205,16,17,0,0,VA
22206,15,23,0,0,VA
22207,28,43,0,0,VA
22209,16,18,0,0,VA
22211,1,1,0,0,VA
22213,4,3,1,0,VA
22301,8,14,0,0,VA
22302,13,20,0,0,VA
22303,9,23,0,0,VA
22304,46,56,0,0,VA
22305,18,16,2,0,VA
22306,31,36,0,0,VA
22307,15,11,4,0,VA
22308,6,5,1,0,VA
22309,35,28,7,0,VA
22310,45,32,13,0,VA
22311,16,14,2,0,VA
22312,40,30,10,0,VA
22314,34,37,0,0,VA
22315,23,24,0,0,VA
