state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-12,1,POST,B+,4.3,-0.553456989,B,4,-0.790776227,A,5,-0.830206219,B,4
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-13,2,POST,C,3,-0.450129995,C,3,-0.698651461,B,4,-0.730751103,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-14,3,POST,C-,2.7,-0.371424914,D,2,-0.655814031,B,4,-0.64047967,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-15,4,POST,C-,2.7,-0.332037936,D,2,-0.66261139,B,4,-0.609015119,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-16,5,POST,C-,2.7,-0.289729321,D,2,-0.652377264,B,4,-0.527249029,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-17,6,POST,C-,2.7,-0.34504446,D,2,-0.690523908,B,4,-0.501002479,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-18,7,POST,C,3,-0.400231722,C,3,-0.674538244,B,4,-0.555948039,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-19,1,POST,C,3,-0.468041495,C,3,-0.695638563,B,4,-0.700904132,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-20,2,POST,C,3,-0.37381317,D,2,-0.702114141,A,5,-0.637975029,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-21,3,POST,D+,2.3,-0.352422051,D,2,-0.648377914,C,3,-0.456761291,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-22,4,POST,C,3,-0.380872629,D,2,-0.732742906,A,5,-0.404127628,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-23,5,POST,C-,2.7,-0.432387481,C,3,-0.65763896,B,4,-0.346971917,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-24,6,POST,C-,2.7,-0.488261209,C,3,-0.656686872,B,4,-0.229250429,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-25,7,POST,D+,2.3,-0.454230266,C,3,-0.647791552,C,3,-0.284552841,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-26,1,POST,C,3,-0.536553902,C,3,-0.655171277,B,4,-0.507838184,D,2
