,George Washington University Hospital,Hadley Memorial Hospital,Howard University Hospital,MedStar Georgetown University ,Sibley Memorial Hospital,Providence Hospital,United Medical Center,MedStar Washington Hospital Center,Other D.C. Hospitals,Virginia,Meritus Medical Center,University of Maryland Medical Center,Prince George's Hospital Center,Holy Cross Hospital,Frederick Memorial Hospital,Mercy Medical Center,Johns Hopkins Hospital,Dorchester (UMSRH),St. Agnes Hospital,Sinai Hospital of Baltimore,White Oak Medical Center,Garrett Memorial Hospital (WVU),Montgomery Medical Center (MedStar),Peninsula Regional Medical Center,Suburban Hospital,Anne Arundel Medical Center,Union Memorial Hospital (MedStar),Western Maryland Medical Center (UPMC),St. Mary's Hospital,Johns Hopkins Bayview Medical Center,Chestertown (UMSRH),Carroll Hospital Center,Harbor Hospital (MedStar),Charles Regional (UM),Easton (UMSRH),UMM Center Midtown Campus (acute) (Formerly Maryland General),Calvert Memorial Hospital,Northwest Hospital,Baltimore Washington Medical Center,Greater Baltimore Medical Center,Howard County General Hospital (JHM),Doctors Community Hospital,Greater Laurel,Good Samaritan Hospital (MedStar),Shady Grove Adventist Hospital,Fort Washington Hospital,Atlantic General Hospital,Southern Maryland Hospital (MedStar),St. Joseph's (UM),Holy Cross Germantown,Queenstown Emergency Center,Franklin Square (MedStar),Grace Medical Center,Union Hospital of Cecil County,Upper Chesapeake Medical Center (UMUCH),Edward McCready Memorial Hospital,Harford Memorial Hospital (UMUCH)
21052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.05
21054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024691358,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.283950617,0,0.024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21056,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.05,0,0,0,0,0.5,0,0,0.05,0,0,0.05,0,0
21060,0,0,0,0,0,0,0,0,0,0,0,0.013377926,0,0.001672241,0,0.006688963,0.013377926,0,0.030100334,0,0,0,0,0.001672241,0,0.06187291,0.001672241,0,0,0.003344482,0,0,0.10367893,0,0,0.003344482,0,0.001672241,0.745819398,0,0.006688963,0,0,0.001672241,0,0,0,0,0,0,0,0.001672241,0.001672241,0,0,0,0
21061,0,0,0,0,0,0,0,0,0,0,0,0.012468828,0,0,0,0.004987531,0.014131338,0,0.024106401,0.00166251,0.000831255,0,0,0,0,0.053200333,0.000831255,0,0,0.005818786,0,0,0.081463009,0.000831255,0,0,0.000831255,0.000831255,0.773898587,0.002493766,0.011637573,0,0.00166251,0.000831255,0,0.000831255,0.000831255,0,0.000831255,0,0,0.002493766,0.00166251,0.000831255,0,0,0
21071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21074,0,0,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0.008196721,0,0,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0.836065574,0.008196721,0,0,0,0,0.008196721,0,0.049180328,0,0,0.008196721,0,0,0,0,0,0.049180328,0.008196721,0,0,0,0,0,0,0
21075,0,0,0,0,0,0,0,0,0,0,0,0.01171875,0.00390625,0,0,0.00390625,0.0234375,0,0.15234375,0,0,0,0,0,0.00390625,0.00390625,0,0,0,0.00390625,0,0,0.01171875,0,0,0.00390625,0,0,0.046875,0,0.71484375,0,0.01171875,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0
21076,0,0,0,0,0,0,0,0,0,0,0,0.014388489,0,0,0,0.007194245,0.043165468,0,0.071942446,0,0,0,0,0,0,0.050359712,0,0,0.007194245,0.007194245,0,0,0.014388489,0,0,0.007194245,0,0,0.525179856,0,0.215827338,0,0.014388489,0,0,0.007194245,0,0,0.014388489,0,0,0,0,0,0,0,0
21077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21078,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0.003333333,0,0,0.01,0,0.003333333,0,0,0.006666667,0,0.013333333,0.156666667,0,0.79
21082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0
21084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0.029411765,0,0,0,0,0.117647059,0,0,0.029411765,0.029411765,0,0.676470588,0,0
21085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03164557,0,0,0,0,0,0.006329114,0,0,0,0.006329114,0,0,0.018987342,0,0,0,0,0,0.006329114,0,0,0.006329114,0.03164557,0,0,0,0.006329114,0,0,0,0,0.025316456,0,0,0.240506329,0,0,0.594936709,0,0.025316456
21087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235294,0,0,0,0,0,0,0,0,0.117647059,0,0,0.352941176,0,0,0.441176471,0,0
21090,0,0,0,0,0,0,0,0,0,0,0,0.021052632,0,0,0,0,0.042105263,0,0.2,0,0,0,0,0,0,0.031578947,0,0,0,0,0,0,0.242105263,0,0,0,0,0,0.442105263,0,0.010526316,0,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0,0,0
21093,0,0,0,0,0,0,0,0,0,0,0.004739336,0.004739336,0,0,0,0.004739336,0.018957346,0,0,0.014218009,0,0,0,0,0,0,0.009478673,0,0,0.009478673,0,0,0,0,0,0,0,0.004739336,0,0.412322275,0.004739336,0,0,0.004739336,0,0,0,0,0.488151659,0,0,0.014218009,0.004739336,0,0,0,0
21102,0,0,0,0,0,0,0,0,0,0,0,0.045045045,0,0,0.009009009,0,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792792793,0,0,0,0.036036036,0,0,0,0.045045045,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0.027027027,0,0,0,0
21104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0.037037037,0,0,0,0,0,0,0,0,0.222222222,0.074074074,0,0,0,0,0.074074074,0,0,0.481481481,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0
21105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21108,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0.012121212,0,0.006060606,0,0,0,0,0,0,0.206060606,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0.715151515,0,0.012121212,0,0,0,0,0,0,0,0,0,0.006060606,0.006060606,0,0,0,0,0
21111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.380952381,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0.047619048,0,0
21113,0,0,0,0,0,0,0,0,0,0,0,0.006309148,0.003154574,0.003154574,0,0.009463722,0.025236593,0,0.018927445,0,0,0,0,0.003154574,0,0.334384858,0,0,0,0.003154574,0,0,0.009463722,0,0,0.003154574,0.003154574,0,0.476340694,0,0.078864353,0,0.012618297,0,0,0,0,0,0.003154574,0,0,0.003154574,0,0,0,0,0.003154574
21114,0,0,0,0,0,0,0,0,0,0,0,0.006024096,0,0,0,0,0.012048193,0,0.006024096,0,0,0.006024096,0,0,0,0.740963855,0,0,0,0,0,0,0.006024096,0,0,0,0,0,0.174698795,0,0.018072289,0.012048193,0.006024096,0,0,0.006024096,0,0.006024096,0,0,0,0,0,0,0,0,0
21117,0,0,0,0,0,0,0,0,0,0,0,0.028960818,0,0,0,0.025553663,0.06132879,0,0.05451448,0.153321976,0.001703578,0,0,0,0,0,0.011925043,0,0,0.00681431,0,0.022146508,0.005110733,0,0,0.005110733,0,0.327086882,0.00681431,0.160136286,0.018739353,0,0.001703578,0.017035775,0,0,0,0.001703578,0.076660988,0,0,0.005110733,0.00681431,0,0.001703578,0,0
21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0.514285714,0,0,0,0.028571429,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0
